Consumer_Address_Key,Consumer_Address_Country_Code_Key,Consumer_Address_Last_Update_Source_System_Key,Consumer_Address_Last_Postal_Opt_In_Opt_Out_Update_Source_System_Key,Consumer_Key,Consumer_Address_Type_Code_Key,Consumer_Address_Record_Valid_From_Date,Consumer_Address_Record_Valid_To_Date,HUI,Consumer_Address_Current_Record_Indicator,Consumer_Address_Postal_Opt_In_Opt_Out_Indicator,Consumer_Address_Postal_Opt_In_Opt_Out_Update_Date,Consumer_Address_Source_Last_Update_Date,Consumer_Line1_Address,Consumer_Line2_Address,Consumer_Line3_Address,Consumer_Address_City_Name,Consumer_Address_Zip_Code,Consumer_Address_Melissa_Identifier,Consumer_Address_Melissa_Delivery_Type_Code,Consumer_Address_Melissa_Result_Code,Consumer_Address_Melissa_Quality_Score_Code,Consumer_Address_Record_Created_Timestamp,Consumer_Address_Record_Modified_Timestamp
1,1,445,203,1701,968,2022-02-08,2022-03-27,"1640 Downs IslandPort Laurenfort, NH 56696",1,1,2023-10-06,2021-06-22,null,null,null,Danielstad,76720,null,null,null,Valid,2023-04-27 11:49:15,2023-09-01 02:52:57
1,1,483,399,23735,672,2021-12-23,2023-11-01,"1397 David CausewayWest Davidshire, CT 75976",1,1,2023-02-27,2021-11-22,null,null,null,Port Cassandra,43707,null,null,null,Suspicious,2023-01-28 17:40:21,2023-09-07 14:44:38
1,3,436,292,35873,954,2021-08-16,2023-03-21,"861 Williams Shore Apt. 176Marthaville, SC 14461",1,0,2022-01-03,2023-10-20,null,null,null,North James,32695,null,null,null,Valid,2022-11-05 08:05:47,2022-12-17 21:23:38
1,3,307,304,43076,361,2023-12-29,2024-01-24,"9070 Kevin Center Suite 875Lake Lisashire, MI 29274",1,1,2023-12-25,2021-08-14,null,null,null,Smithport,68153,null,null,null,Valid,2021-02-03 07:39:50,2021-07-18 17:33:53
1,1,549,899,43219,188,2021-11-11,2021-12-26,Unit 3931 Box 5683DPO AP 95055,1,0,2022-10-17,2023-12-15,null,null,null,North Kimberlyport,25492,null,null,null,Invalid,2022-02-25 00:34:29,2022-07-10 12:31:26
1,1,52,24,48349,215,2023-02-15,2023-07-08,"4800 Jennifer Keys Suite 447Joshuabury, HI 50849",0,1,2022-07-29,2021-08-30,null,null,null,Hopkinsshire,75311,null,null,null,Valid,2023-10-13 03:00:20,2024-01-21 10:28:14
1,1,864,627,50710,305,2023-06-15,2023-10-16,"33844 Jose Island Apt. 954Odonnellport, VI 36932",0,1,2022-09-27,2023-08-15,null,null,null,North Matthewmouth,25368,null,null,null,Valid,2021-08-01 12:21:40,2023-06-28 10:32:54
1,3,457,748,52774,579,2021-04-20,2022-11-15,"231 Burns RapidHallstad, ID 27727",0,1,2021-02-19,2023-01-12,null,null,null,Lake Feliciaville,29928,null,null,null,Valid,2022-09-28 11:56:02,2023-10-14 11:00:51
1,3,439,655,71603,36,2024-01-13,2024-01-16,"6250 Gail IslandsEast Dorothy, RI 18017",0,0,2022-09-02,2021-07-05,null,null,null,Flowersfurt,11688,null,null,null,Valid,2023-02-01 16:07:50,2023-10-08 07:54:18
1,2,1,819,79415,302,2023-12-16,2024-01-15,Unit 4204 Box 1013DPO AA 34997,1,0,2021-10-01,2021-08-18,null,null,null,Larryfort,73052,null,null,null,Valid,2023-07-05 13:05:18,2023-10-30 06:08:02
1,1,259,956,79470,6,2022-04-29,2022-07-29,"8660 Tracey Prairie Apt. 016Rebeccaburgh, IN 42798",0,0,2021-03-07,2023-03-09,null,null,null,South Michael,41997,null,null,null,Valid,2022-09-15 08:34:23,2022-11-16 08:46:11
1,1,845,667,81071,283,2022-09-10,2024-01-10,"9645 Day Stravenue Apt. 981North Christine, FM 38199",0,0,2023-09-02,2022-01-21,null,null,null,Keithfort,97582,null,null,null,Valid,2023-09-11 05:19:40,2023-12-17 19:56:11
1,1,961,246,101757,573,2021-02-12,2022-01-10,"01375 Kathryn JunctionsLake Tommymouth, GU 22803",1,1,2023-05-02,2022-03-24,null,null,null,Kathrynshire,92561,null,null,null,Invalid,2022-12-06 21:49:45,2024-01-01 11:24:33
1,1,143,874,103119,732,2023-11-06,2023-12-09,"96812 Sean Pine Suite 335Chadbury, NY 45957",0,0,2023-01-03,2021-11-09,null,null,null,South Tonymouth,84405,null,null,null,Valid,2022-04-12 20:23:00,2023-03-09 23:05:52
1,3,800,284,109751,886,2021-04-16,2021-12-28,"72980 Julie Dam Apt. 102Robertmouth, OH 12094",1,0,2022-10-27,2023-06-19,null,null,null,Port Hollyberg,91529,null,null,null,Invalid,2023-07-22 16:29:37,2023-11-03 10:07:56
1,2,897,716,120461,942,2022-11-15,2022-12-10,"1466 Richard Parks Apt. 644South Jerrybury, NY 56456",0,0,2022-09-29,2022-10-30,null,null,null,Wardborough,53570,null,null,null,Valid,2024-01-02 06:30:03,2024-01-23 03:43:55
1,1,12,809,127543,301,2021-05-08,2022-07-06,"621 Chelsea LandingChristianhaven, WA 94334",1,0,2022-02-13,2021-06-20,null,null,null,Morenoside,25202,null,null,null,Valid,2021-10-17 05:03:33,2023-09-28 07:17:18
1,2,713,663,131637,491,2021-03-09,2022-02-28,"83119 Ross UnderpassEast Danielshire, DC 06321",0,0,2023-10-04,2021-05-21,null,null,null,Allenchester,18770,null,null,null,Valid,2023-07-22 17:53:42,2023-11-16 17:43:07
1,1,364,914,133033,269,2021-06-19,2023-07-24,"6993 Baker Drive Apt. 705Stephanieberg, AS 71337",0,1,2022-11-10,2022-04-14,null,null,null,Nelsonbury,35961,null,null,null,Valid,2021-03-05 15:06:15,2023-08-10 16:12:42
1,1,763,886,139259,231,2023-02-25,2024-01-20,"6348 Heather ClubBrownside, WI 94589",0,1,2023-09-10,2021-12-31,null,null,null,New Kevinfurt,03852,null,null,null,Invalid,2021-04-05 13:45:22,2021-10-17 11:38:15
1,2,517,356,154542,997,2023-11-05,2023-11-28,USNV CraigFPO AP 24756,0,0,2021-10-15,2021-12-08,null,null,null,West Jonathan,21532,null,null,null,Valid,2023-12-14 13:31:32,2024-01-15 18:49:57
1,1,617,575,158770,178,2023-08-28,2023-12-17,"708 Peterson RoadsLake Brittany, NY 10496",1,1,2023-12-24,2021-05-17,null,null,null,North Cliffordburgh,22190,null,null,null,Valid,2022-02-05 18:14:27,2022-05-19 05:42:08
1,1,169,426,170288,337,2022-09-30,2023-09-24,"6527 Debra Falls Suite 569Port Alison, NY 31993",1,1,2021-08-27,2023-02-24,null,null,null,South Derekton,22439,null,null,null,Valid,2023-07-10 04:30:39,2023-08-26 10:46:49
1,3,346,831,173327,604,2021-03-02,2022-10-19,"365 Allen MillsTheresahaven, ID 22449",0,1,2023-05-09,2022-08-27,null,null,null,West Ashley,27311,null,null,null,Valid,2021-12-24 21:09:46,2023-05-30 18:10:07
1,3,654,66,185736,629,2023-12-04,2024-01-18,"2548 Nicholas Flat Suite 890Christophermouth, WI 76757",1,0,2021-03-24,2023-05-24,null,null,null,Lake Stephanieland,16687,null,null,null,Valid,2023-04-06 11:29:18,2023-07-17 20:36:18
1,2,205,615,187981,836,2023-02-23,2023-11-25,"840 Palmer KeysFigueroachester, ME 01304",0,0,2021-06-06,2022-05-13,null,null,null,North Jeffery,54216,null,null,null,Valid,2022-10-27 13:56:56,2023-01-15 16:41:54
1,2,414,110,189773,245,2023-06-07,2023-09-13,"9929 Love FreewayReynoldsfurt, FM 69549",1,1,2023-02-09,2022-08-24,null,null,null,Lake Joshuashire,74909,null,null,null,Valid,2023-05-25 19:15:49,2023-09-11 14:03:56
1,2,438,385,196380,825,2021-10-29,2023-08-01,"851 Julia GroveEast Yvonnefort, DC 95997",0,0,2022-08-16,2024-01-03,null,null,null,Bakerland,33524,null,null,null,Valid,2021-02-15 16:46:49,2023-09-14 13:17:54
1,1,279,860,210176,272,2022-11-17,2024-01-11,"71858 Jennifer Spring Apt. 228Aliciastad, IL 84301",0,0,2021-07-31,2023-05-22,null,null,null,South Michaelchester,03051,null,null,null,Valid,2023-06-02 16:35:11,2023-07-21 17:05:06
1,2,268,769,214112,615,2023-07-05,2023-11-12,"57863 Debbie GlensSheliaport, RI 81377",1,0,2023-09-21,2022-12-27,null,null,null,East Raymond,54444,null,null,null,Valid,2021-06-04 20:04:15,2021-11-22 11:34:59
1,1,471,385,219917,694,2022-03-30,2022-09-27,"07969 Nicole Gardens Suite 103New Nicholasport, UT 62634",0,1,2023-06-20,2022-04-08,null,null,null,Reesetown,99293,null,null,null,Valid,2023-03-25 08:31:29,2023-12-16 15:12:14
1,1,211,595,221983,45,2023-06-04,2023-11-18,"4613 Flores EstateWilliamburgh, NV 60493",1,0,2021-02-26,2023-07-01,null,null,null,Larrytown,13719,null,null,null,Invalid,2023-08-11 22:51:26,2024-01-17 14:41:45
1,2,631,201,224727,399,2023-01-18,2023-06-30,"07811 Ramirez PrairieWest Emilyport, VI 67757",0,0,2022-06-29,2021-07-31,null,null,null,Jeromefurt,10684,null,null,null,Valid,2023-11-28 07:03:45,2023-12-16 15:56:15
1,1,720,40,235732,347,2022-10-31,2023-02-27,"680 Johnson Brook Apt. 251South Ryan, OH 93192",1,0,2021-04-02,2022-06-01,null,null,null,Lake Jason,10273,null,null,null,Invalid,2022-03-10 18:16:19,2022-12-07 06:13:57
1,1,1,918,252364,358,2023-03-03,2023-06-18,"3122 Jason PinesHouseburgh, IL 45124",0,0,2023-12-01,2022-01-30,null,null,null,Chavezville,36819,null,null,null,Invalid,2021-04-18 04:45:11,2022-03-08 18:56:24
1,2,217,696,262515,351,2023-05-06,2023-11-28,"63719 Sullivan GrovesPagefort, AS 84440",0,1,2021-11-06,2022-03-25,null,null,null,Deborahville,17026,null,null,null,Valid,2021-10-12 21:01:55,2022-10-03 03:11:48
1,2,872,738,285114,776,2023-07-11,2023-11-16,"4714 Dyer LaneWest Williamborough, ND 62705",0,0,2022-05-23,2023-11-24,null,null,null,South Philip,62569,null,null,null,Invalid,2021-09-19 22:44:28,2021-12-10 21:08:03
1,2,936,432,285468,694,2021-05-01,2021-05-20,Unit 4469 Box 7771DPO AA 60294,1,0,2022-09-25,2023-12-24,null,null,null,New Jeremytown,03908,null,null,null,Valid,2021-02-04 01:39:59,2022-12-30 01:03:37
1,1,627,34,314962,329,2022-12-07,2023-09-17,"00933 John MeadowLake Randall, IL 19077",0,1,2022-03-09,2023-04-01,null,null,null,Snydermouth,98960,null,null,null,Valid,2021-04-21 19:00:43,2021-04-26 23:21:53
1,2,209,115,320723,788,2023-04-25,2023-09-26,"867 Christopher Parkway Suite 063New Jeffrey, VA 54919",0,1,2023-12-11,2024-01-02,null,null,null,Lake Nathanside,86988,null,null,null,Invalid,2021-04-14 16:44:21,2021-07-15 05:02:14
1,1,916,404,320975,143,2021-07-08,2021-12-28,"537 Jennifer Way Apt. 300Morganton, DE 60212",1,0,2023-07-29,2021-06-24,null,null,null,West Denisehaven,80080,null,null,null,Valid,2023-12-29 16:23:33,2024-01-06 10:33:28
