Consumer_Key,Consumer_Created_Source_System_Key,Consumer_Last_Update_Source_System_Key,Consumer_Web_Push_Opt_In_Opt_Out_Source_System_Key,Consumer_Privacy_Policy_Consent_Source_Key,Consumer_Class_Code_Key,CFDM_Channel_Code_Key,Consumer_Gender_Code_Key,Region_Code_Key,Affiliate_Code_Key,Market_Code_Key,Division_Code_Key,Consumer_Global_Unique_Identifier,Consumer_Level_Code,Consumer_Valid_Record_Indicator,Consumer_Version_Number,Consumer_Offline_Identifier,Consumer_POS_Identifier,Consumer_Online_Identifier,Consumer_Salutation_Code,Consumer_First_Name,Consumer_Middle_Name,Consumer_Last_Name,Consumer_Language_Code,Consumer_Birth_Day_Number,Consumer_Birth_Month_Number,Consumer_Birth_Year_Number,Consumer_Loyalty_Opt_In_Opt_Out_Indicator,Consumer_Web_Push_Opt_In_Opt_Out_Indicator,Consumer_Anonymization_Indicator,Consumer_Pending_Braze_Archival_Indicator,Consumer_Pending_Braze_Archival_Date,Consumer_Web_Push_Opt_In_Opt_Out_Update_Date,Consumer_Online_Registration_Date,Consumer_Online_Registration_Status_Code,Consumer_Offline_Registration_Date,Consumer_Registration_Store_Identifier,Consumer_Archived_In_Braze_Indicator,Consumer_Profile_Update_Indicator,Consumer_Profile_Last_Update_Date,Consumer_Privacy_Policy_Consent_Date,Consumer_Privacy_Policy_Reconsent_Date,Consumer_Anonymization_Timestamp,Consumer_Record_Created_Timestamp,Consumer_Record_Modified_Timestamp
1701,27,27,27,201,449,4,1,10,886963,1,1,050b59b9-2835-4829-93ee-39144f8d0b49,global,0,3,a2303226-3f55-4d9b-99ad-749460b25e4e,7c6355b1-cd26-42a9-b48a-9baa701f7471,c6df845c-b159-4aad-84d1-faa9ff45461c,361ffe172059611dc2d8e6c6e75bbae9,John,Andrew,Patel,EN,1,8,1953,1,1,1,0,2023-04-29,2022-06-30,,,2022-05-14,cc03b7cb-cbe7-442c-b64c-57952606cc32,0,0,2023-10-18,,,2023-03-08T14:14:40.101Z,2023-03-08T14:14:40.101Z,2023-12-10T13:50:47.153Z
23735,6,6,6,962,800,8,2,10,184991,1,3,4c573d1e-3f5b-4aca-adc3-96bdd82058f0,global,1,3,994bedf6-1604-44ef-b311-cb35f9a855d0,3134c954-2077-46e6-85e7-9d9c8eee700c,ffd65971-b668-4cde-aaec-6e04f79276ec,1836e97276374babf41b8a411c4038d5,Dana,Ann,Oliver,EN,14,4,1997,0,0,0,0,2021-05-11,2022-11-21,2022-11-10,registered,,,0,0,2022-03-21,,,2022-06-25T15:49:52.931Z,2022-06-25T15:49:52.931Z,2023-04-30T13:07:35.631Z
35873,24,24,24,357,310,1,1,10,588046,1,10,84605a17-1b6d-4d4e-9900-3572b1373045,global,0,7,84db1b8a-6615-4cb8-bbb2-1fce288701c6,5c435db2-4cb1-4d9b-ac77-5b10aecaec2f,2077e9b2-c7d5-4d04-84cc-39aba4463413,a5c5b41b1f9a9d04f92cc016f843ea53,Vicki,Wendy,Anderson,EN,30,5,1946,0,1,0,1,2021-04-02,2023-03-31,,,2023-03-28,22eb72cd-1954-4b6a-b652-b4a698819942,0,1,2021-11-20,,2023-09-18,2024-01-08T17:35:48.018Z,2024-01-08T17:35:48.018Z,2024-01-20T02:55:04.033Z
43076,5,5,5,990,866,3,1,10,800039,1,12,f006f021-a2a8-4688-ae57-d9b27beacea0,global,1,5,18544f0a-bf99-49b4-9dcd-d35b3595feff,4696d4fd-9f17-4354-b9b6-76af55ad136b,8e9f41e1-1c13-4b42-bb14-61873c62ebf7,057ef93edc7b7198135b73b892b152a4,Stephen,Matthew,Whitehead,EN,30,1,1944,1,0,0,0,2021-06-19,2022-04-07,,,2021-12-12,6c2b30f0-f618-448e-ae96-16122a9f1361,0,1,2022-12-18,2022-12-16,2023-07-20,2023-10-17T21:57:00.071Z,2023-10-17T21:57:00.071Z,2023-11-24T09:10:18.514Z
43219,2,2,2,394,175,10,2,10,733440,1,22,837514ef-dde7-4f68-a169-82701aaad245,global,1,2,8208b5ea-c1d3-48d6-96a5-682142309889,bd9ba2a8-fab0-48e5-96a6-72668a5826d2,4475825d-97d7-4504-88ce-04bb62a8bcd9,c07ac95487010974d1bc6e5a7755293e,Amy,Heather,Maldonado,EN,17,11,1982,0,1,1,1,2021-05-22,2023-11-30,,,2023-10-11,3c3f0610-d68a-4560-b658-0b462fc50c07,0,1,2021-09-05,,2023-12-07,2023-03-24T14:10:15.424Z,2023-03-24T14:10:15.424Z,2024-01-06T03:24:43.076Z
48349,13,13,13,490,388,3,1,10,449523,1,21,0391553a-290c-4e8b-b376-9e3848fb5f43,global,0,1,822c3c36-62e7-434e-aa46-d5ee0c14e532,847d2657-6cc1-4a34-829e-33817dc1d940,7e67f2cc-8c86-4ec9-81dc-0b8dc0870488,c8683397be3b32965256111187cbb400,Ashley,Jessica,Weaver,EN,5,9,1944,1,1,1,0,2023-10-13,2021-02-11,2023-02-09,registered,,,1,0,2022-03-27,2023-05-23,,2022-11-19T12:36:11.249Z,2022-11-19T12:36:11.249Z,2023-10-30T14:20:02.563Z
50710,31,31,31,681,28,7,1,10,516335,1,17,05a53043-c88b-45f6-9227-7151b22ddd24,global,1,11,929ab61a-3c83-4457-9ad5-97ddef926855,b8344ace-5e4f-4c2c-b394-d8ba3b3ec68d,57d0b9ee-233f-495d-b14e-aa6fd7510672,bb8743cb978a89103963f0c49c96b1eb,Samantha,Margaret,Wagner,EN,10,2,1961,1,0,0,0,2023-10-15,2021-04-15,,,,,1,1,2021-09-19,,2023-06-04,2021-06-25T03:51:34.335Z,2021-06-25T03:51:34.335Z,2022-12-11T07:08:12.173Z
52774,47,47,47,46,934,10,2,10,754082,1,12,7d4afb8f-450f-44c8-9e08-61713b3543d2,global,1,5,73d0eac7-71da-4af6-9cb8-d832d71d3f63,c4d0f919-d4d6-4263-a744-bd13916d7977,ab6d5987-db40-4d0b-8117-7d7562d565b6,71b45f15213a50053cb9fdd211509c65,Jacob,Michael,Jones,EN,13,1,1958,1,1,0,0,2023-12-29,2022-09-05,2021-10-21,registered,,,0,1,2024-01-02,,,2023-07-31T12:36:41.551Z,2023-07-31T12:36:41.551Z,2023-10-03T16:01:08.599Z
71603,16,16,16,20,867,1,1,10,260413,1,21,6d779ca1-1ed3-45aa-b3ee-c7e87db47504,global,1,2,74fda4ab-c255-49a5-8502-a6ddd2a6222e,314c80f3-c580-4de2-a30b-8d5c47bd3198,99171470-04e2-4f4d-b67d-980b7ecae656,288d162ca1ea67ceb6137d9f5c7e7e50,Alexis,Becky,Williams,EN,29,11,1946,0,1,0,0,2021-09-05,2023-10-14,2021-10-09,registered,,,0,0,2023-12-19,,,2023-09-15T16:01:23.104Z,2023-09-15T16:01:23.104Z,2024-01-11T14:29:45.295Z
79415,22,22,22,384,761,2,1,10,586846,1,10,7f103726-88de-48c1-9e29-817b3470c3eb,global,1,5,872189ef-94c4-4d41-a1fe-06126e84e105,1edcf4f2-7da4-46b3-a344-44cb951c9f90,0a13d9e9-260b-479f-9d81-0475cad31b56,841924cc949b901b8318fcb2f7fe6cb0,Brian,Gregory,Robinson,EN,26,7,1986,0,1,1,0,2021-05-02,2022-06-20,2023-04-08,registered,,,1,0,2021-04-06,2021-12-14,2021-08-18,2021-11-05T23:26:43.569Z,2021-11-05T23:26:43.569Z,2022-03-12T23:02:53.036Z
