Consumer_Email_Key,Consumer_Email_Last_Update_Source_System_Key,Consumer_Email_Last_Opt_In_Opt_Out_Update_Source_System_Key,Consumer_Key,Consumer_Email_Type_Code_Key,Consumer_Email_Record_Valid_From_Date,Consumer_Email_Record_Valid_To_Date,Consumer_Email_Address_Name,Consumer_Email_Current_Record_Indicator,Consumer_Email_Technical_Validity_Indicator,Consumer_Email_Opt_In_Opt_Out_Indicator,Consumer_Email_Opt_In_Opt_Out_Update_Date,Consumer_Email_Source_Last_Update_Date,Consumer_Email_Ip_Location_Name,Consumer_Email_Melissa_Result_Code,Consumer_Email_Melissa_Quality_Score_Code,Consumer_Email_Melissa_Deliverability_Confidence_Score_Number,Consumer_Email_Melissa_Privacy_Indicator,Consumer_Email_Last_Click_Timestamp,Consumer_Email_Subscription_Date,Consumer_Email_Record_Created_Timestamp,Consumer_Email_Record_Modified_Timestamp
325,229,155,1701,754,2023-07-13,2023-11-12,michelle48@example.net,0,0,0,2023-01-28,2021-03-27,19.166.76.81,null,Valid,507,0,2021-09-11 00:00:00.000000,2021-11-02,2021-08-14 15:36:02.828856,2022-09-12 18:52:48.709384
41,228,645,23735,462,2022-02-10,2023-04-29,kennethnguyen@example.com,0,0,1,2023-05-28,2022-10-13,26.1.19.10,null,Suspicious,671,0,2021-03-08 00:00:00.000000,2022-12-27,2022-09-03 13:00:54.610675,2023-04-02 16:26:36.259401
291,966,863,35873,614,2022-12-04,2023-08-05,rodriguezdaniel@example.net,1,0,0,2022-07-13,2022-04-23,16.15.57.85,null,Valid,40,1,2022-02-19 00:00:00.000000,2023-03-11,2023-11-17 12:44:47.657650,2023-12-30 16:56:47.323134
227,606,626,43076,397,2023-03-18,2023-07-02,nicholas74@example.net,1,1,1,2021-03-18,2023-01-27,19.73.156.37,null,Valid,769,1,2022-03-08 00:00:00.000000,2023-11-10,2021-06-10 22:38:08.729269,2022-10-09 12:01:56.581622
339,162,704,43219,540,2022-07-19,2023-09-21,barias@example.net,0,1,0,2022-06-12,2022-07-21,71.65.90.31,null,Invalid,556,1,2022-01-03 00:00:00.000000,2021-06-06,2021-11-01 03:28:29.367843,2023-12-26 01:12:04.189278
738,541,451,48349,198,2021-11-27,2023-11-12,mcclainwayne@example.com,0,1,1,2022-07-19,2022-03-03,8.210.171.255,null,Valid,748,1,2022-01-29 00:00:00.000000,2023-01-06,2022-12-01 19:53:37.996833,2024-01-23 23:24:53.533820
212,76,15,50710,655,2023-10-03,2023-12-06,frank97@example.com,0,0,0,2021-12-30,2022-03-24,183.190.215.101,null,Valid,801,1,2022-10-19 00:00:00.000000,2021-03-22,2023-09-22 01:08:22.511466,2023-12-21 01:41:05.159037
681,986,464,52774,850,2021-12-22,2023-01-05,jameswilliams@example.org,0,1,1,2021-03-29,2021-03-02,118.223.28.64,null,Valid,735,0,2023-12-04 00:00:00.000000,2023-05-07,2023-09-14 16:50:13.634378,2023-12-26 14:58:53.501135
595,321,443,71603,818,2022-09-18,2023-05-17,bryanangela@example.net,0,1,0,2023-05-12,2023-08-03,47.24.204.123,null,Valid,644,0,2021-12-08 00:00:00.000000,2023-08-29,2022-11-24 16:41:18.220619,2023-08-06 22:09:03.696047
179,397,52,79415,953,2022-03-06,2022-11-07,grahammorgan@example.org,0,0,1,2021-03-31,2022-11-11,36.168.170.238,null,Valid,611,1,2023-02-06 00:00:00.000000,2021-07-10,2022-06-07 22:13:12.506417,2022-10-25 10:53:07.100035
349,165,473,79470,675,2022-08-28,2022-12-14,angel22@example.com,0,0,0,2023-02-06,2023-01-08,210.242.56.239,null,Valid,20,1,2022-11-14 00:00:00.000000,2021-11-30,2023-01-18 06:04:32.411494,2024-01-13 10:50:40.391750
998,260,347,81071,717,2023-07-04,2023-07-29,marissapowell@example.net,0,1,0,2022-07-19,2022-07-04,50.226.45.98,null,Valid,651,1,2022-11-29 00:00:00.000000,2023-12-01,2021-04-30 06:47:57.280344,2022-01-07 09:55:35.136401
914,26,467,101757,94,2022-05-02,2023-11-07,marissa12@example.org,0,1,1,2022-04-28,2022-01-19,154.167.171.85,null,Invalid,335,0,2021-10-01 00:00:00.000000,2024-01-21,2022-06-01 13:56:43.872158,2022-08-08 04:11:58.056409
569,39,974,103119,91,2022-06-16,2023-12-24,scottroger@example.org,0,0,0,2022-01-14,2021-10-07,216.62.89.108,null,Valid,928,0,2021-03-01 00:00:00.000000,2022-03-12,2022-06-25 21:41:59.141737,2023-06-08 08:54:44.751449
126,175,338,109751,463,2021-02-06,2023-01-19,berrybenjamin@example.com,1,0,0,2023-06-09,2022-03-31,33.100.236.227,null,Invalid,926,0,2021-10-09 00:00:00.000000,2023-07-08,2021-03-17 03:28:26.284016,2023-12-27 23:45:54.850568
900,113,583,120461,121,2021-09-28,2021-12-13,scarter@example.com,0,0,0,2021-02-20,2022-12-24,143.207.204.186,null,Valid,666,0,2023-04-29 00:00:00.000000,2023-04-14,2022-05-05 18:06:17.727494,2023-01-17 01:43:23.166520
425,114,49,127543,35,2022-12-13,2023-09-16,lharris@example.net,0,0,0,2023-03-31,2022-01-23,105.192.245.4,null,Valid,445,1,2021-08-22 00:00:00.000000,2021-08-31,2021-08-15 21:15:27.475979,2023-07-21 13:13:26.721027
432,128,357,131637,835,2021-07-09,2023-01-11,jacobsoto@example.org,1,1,1,2022-08-23,2024-01-03,143.103.159.31,null,Valid,585,0,2022-05-10 00:00:00.000000,2023-06-04,2022-12-07 06:37:20.432471,2023-07-18 03:50:00.945794
219,804,562,133033,862,2023-07-16,2023-11-07,scott57@example.com,0,0,0,2023-01-08,2021-03-06,124.144.42.246,null,Valid,335,0,2021-10-19 00:00:00.000000,2021-05-09,2022-03-14 23:07:34.571570,2022-03-31 03:45:28.308252
49,102,653,139259,487,2022-06-25,2022-07-03,stephanie80@example.com,0,0,0,2021-05-28,2022-10-16,189.15.144.80,null,Invalid,440,0,2021-11-26 00:00:00.000000,2021-09-17,2021-05-09 08:23:11.279301,2021-08-12 14:07:34.243967
561,431,845,154542,898,2021-11-11,2024-01-01,flee@example.net,0,1,1,2023-07-23,2021-04-16,112.22.46.127,null,Valid,696,1,2021-03-15 00:00:00.000000,2021-07-22,2021-11-19 15:45:14.121089,2023-04-03 13:39:59.359679
960,796,436,158770,367,2022-05-16,2022-05-19,raymichelle@example.org,0,1,1,2022-03-23,2022-12-06,17.237.215.187,null,Valid,800,1,2022-04-21 00:00:00.000000,2021-10-16,2023-06-18 18:31:12.062260,2023-07-28 15:10:56.449195
272,25,14,170288,477,2021-09-23,2023-09-14,heidi24@example.net,1,0,0,2021-11-10,2021-03-16,109.148.253.240,null,Valid,909,1,2021-06-16 00:00:00.000000,2022-01-05,2021-08-07 10:50:59.391094,2022-04-30 17:19:26.609913
831,840,244,173327,872,2021-11-25,2023-05-27,ryanlisa@example.org,0,0,1,2022-11-07,2022-09-25,97.214.14.200,null,Valid,934,0,2021-08-26 00:00:00.000000,2022-11-01,2021-06-26 19:05:01.451850,2023-09-19 21:53:14.297411
617,125,811,185736,209,2021-05-02,2023-08-30,sarahguzman@example.org,1,1,1,2022-04-07,2022-07-18,77.168.239.178,null,Valid,709,1,2021-07-04 00:00:00.000000,2022-08-12,2022-08-10 20:03:29.061957,2023-05-30 18:37:19.761545
480,812,554,187981,379,2023-02-27,2023-09-03,meganreynolds@example.com,0,1,1,2022-06-30,2022-09-06,55.172.148.175,null,Valid,767,1,2022-05-20 00:00:00.000000,2023-04-08,2021-08-11 23:48:15.315822,2022-07-08 13:48:04.471028
674,346,337,189773,213,2023-11-02,2023-11-24,christopher18@example.com,1,0,0,2022-05-11,2024-01-18,202.107.2.175,null,Valid,212,0,2022-07-10 00:00:00.000000,2021-10-25,2021-07-27 04:58:42.859568,2021-10-17 04:30:41.508094
513,258,521,196380,248,2022-11-14,2023-02-02,samueltaylor@example.net,0,0,0,2021-09-17,2021-10-05,103.221.169.32,null,Valid,745,1,2023-04-01 00:00:00.000000,2023-06-20,2023-03-05 23:59:54.225192,2023-05-10 16:20:11.018492
693,503,672,210176,610,2022-09-20,2023-03-08,natasha91@example.org,0,0,1,2023-08-23,2023-12-31,60.112.226.176,null,Valid,733,0,2021-06-02 00:00:00.000000,2023-01-11,2022-11-15 13:27:33.584359,2023-09-01 07:12:18.793547
807,85,34,214112,738,2021-04-26,2022-10-07,hollyfarmer@example.com,0,0,1,2021-03-18,2022-02-28,188.251.91.35,null,Valid,488,1,2023-01-02 00:00:00.000000,2023-02-23,2021-04-29 20:56:27.512026,2022-07-02 08:40:46.534451
678,511,92,219917,166,2023-04-15,2023-09-10,whitejonathan@example.net,1,0,0,2022-07-09,2022-05-07,131.255.58.80,null,Valid,952,1,2022-04-17 00:00:00.000000,2022-02-28,2022-10-03 16:03:17.625000,2023-09-22 10:00:43.141150
826,708,725,221983,333,2021-04-03,2022-09-08,rsaunders@example.net,1,0,1,2022-01-19,2022-03-14,216.151.201.107,null,Invalid,10,1,2023-07-26 00:00:00.000000,2021-04-17,2022-08-23 11:50:54.905821,2024-01-05 18:42:31.665882
784,192,637,224727,852,2023-04-09,2023-08-02,lauraharris@example.net,0,1,0,2021-11-08,2021-09-21,74.183.22.129,null,Valid,505,1,2021-07-16 00:00:00.000000,2023-08-13,2021-12-22 02:19:20.766827,2023-11-22 02:10:26.813306
18,350,457,235732,427,2022-09-17,2023-10-05,johnsmith@example.net,0,0,1,2023-11-02,2022-12-01,107.4.143.119,null,Invalid,694,1,2021-03-01 00:00:00.000000,2021-10-04,2022-09-21 22:21:51.824137,2022-11-10 01:56:15.532078
338,462,853,252364,391,2021-04-16,2022-08-30,mcleanjay@example.com,1,1,0,2022-04-17,2024-01-11,179.111.124.240,null,Invalid,182,0,2023-03-19 00:00:00.000000,2021-09-28,2021-11-14 20:26:42.881904,2023-10-04 17:01:30.674392
226,115,426,262515,906,2022-11-29,2023-09-22,nhowell@example.org,0,1,1,2023-04-25,2023-12-04,140.126.223.88,null,Valid,635,1,2022-09-04 00:00:00.000000,2021-09-19,2022-01-14 22:02:38.600770,2022-07-27 18:00:50.559537
766,210,941,285114,390,2023-04-17,2023-12-21,leah77@example.org,1,0,1,2023-01-14,2022-09-04,11.230.44.5,null,Invalid,580,1,2022-12-31 00:00:00.000000,2023-03-17,2023-04-26 10:18:30.543470,2023-09-06 00:02:25.159317
