Consumer_Phone_Key,Consumer_Phone_Country_Key,Consumer_Phone_Last_Update_Source_System_Key,Consumer_Phone_Last_Opt_In_Opt_Out_Update_Source_System_Key,Consumer_Phone_Mobile_Wallet_Opt_In_Opt_Out_Source_System_Code_Key,Consumer_Phone_Whatsapp_Opt_In_Opt_Out_Source_System_Code_Key,Consumer_Key,Consumer_Phone_Type_Code_Key,Consumer_Phone_Record_Valid_From_Date,Consumer_Phone_Record_Valid_To_Date,Consumer_International_Phone_Number,Consumer_Phone_Current_Record_Indicator,Consumer_Phone_Mobile_Wallet_Opt_In_Opt_Out_Indicator,Consumer_Phone_Whatsapp_Opt_In_Opt_Out_Indicator,Consumer_Phone_SMS_Opt_In_Opt_Out_Indicator,Consumer_Phone_SMS_Opt_In_Opt_Out_Update_Date,Consumer_Phone_Source_Last_Update_Date,Consumer_Phone_Country_Code_Number,Consumer_Phone_Number,Consumer_Phone_Melissa_Result_Code,Consumer_Phone_Melissa_Quality_Score_Code,Consumer_Phone_SMS_Last_Click_Timestamp,Consumer_Phone_Whatsapp_Last_Click_Timestamp,Consumer_Phone_Record_Created_Timestamp,Consumer_Phone_Record_Modified_Timestamp
1,1,760,721,5,820,1701,256,2021-06-28,2022-12-08,+1-572-291-5579x9546,1,1,1,0,2021-01-24,2022-06-30,0,0,null,Valid,2021-07-16 00:00:00.000000,2023-04-17 00:00:00.000000,2021-08-02 14:33:04.358354,2022-08-13 23:03:07.482802
1,2,141,733,260,653,23735,904,2023-07-13,2023-08-11,+1-921-485-4067x43972,1,1,0,1,2021-07-05,2023-07-27,0,0,null,Suspicious,2021-07-20 00:00:00.000000,2022-05-31 00:00:00.000000,2023-04-25 00:28:42.457227,2023-10-06 23:03:23.254786
1,1,565,934,348,626,35873,136,2022-10-22,2023-06-02,001-847-491-0329x8543,0,1,1,1,2023-09-13,2022-09-11,0,0,null,Valid,2023-08-30 00:00:00.000000,2022-07-05 00:00:00.000000,2022-09-17 23:05:06.751329,2023-10-11 19:36:10.337654
1,3,523,742,756,651,43076,279,2022-08-19,2023-08-09,(424)961-6141x16547,0,1,1,1,2021-05-08,2022-12-11,0,0,null,Valid,2021-11-15 00:00:00.000000,2021-02-11 00:00:00.000000,2023-01-19 05:44:35.489153,2023-02-12 19:00:46.222892
1,1,254,270,221,133,43219,40,2022-06-10,2022-11-18,+1-389-694-1029,0,0,0,1,2023-09-10,2021-12-10,0,0,null,Invalid,2022-10-31 00:00:00.000000,2023-05-27 00:00:00.000000,2021-09-12 23:24:49.097427,2023-12-07 22:13:33.021938
1,2,230,863,682,880,48349,688,2023-06-14,2023-12-23,463.323.0894x8958,1,1,1,1,2021-02-09,2021-04-07,0,0,null,Valid,2021-01-26 00:00:00.000000,2021-03-06 00:00:00.000000,2022-04-18 22:54:57.639041,2023-06-17 04:39:33.088893
1,3,460,898,323,254,50710,155,2022-09-04,2023-09-06,+1-250-565-6256,0,0,1,0,2022-05-18,2023-05-17,0,0,null,Valid,2023-02-19 00:00:00.000000,2023-08-25 00:00:00.000000,2023-03-28 04:37:02.880970,2023-11-01 20:28:19.975357
1,1,274,677,511,182,52774,887,2021-11-09,2022-10-14,790.585.6317x547,0,0,0,1,2023-11-27,2022-07-20,0,0,null,Valid,2021-02-12 00:00:00.000000,2023-11-14 00:00:00.000000,2023-02-26 22:33:25.739544,2023-11-20 03:12:48.052849
1,2,867,74,928,287,71603,940,2023-01-09,2023-12-31,001-378-748-1905,0,0,1,0,2023-12-20,2022-12-26,0,0,null,Valid,2022-01-02 00:00:00.000000,2022-01-23 00:00:00.000000,2023-07-25 18:29:32.645400,2023-11-14 19:03:57.884261
1,2,314,191,905,397,79415,859,2023-12-10,2024-01-04,9779118401,1,0,1,0,2023-08-03,2023-01-10,0,0,null,Valid,2023-03-03 00:00:00.000000,2023-07-16 00:00:00.000000,2021-09-18 12:49:13.727479,2023-11-30 06:40:42.601750
1,2,71,56,239,374,79470,466,2021-08-17,2023-11-17,001-991-289-8166x45696,1,0,0,1,2023-06-13,2021-12-21,0,0,null,Valid,2023-11-03 00:00:00.000000,2022-11-09 00:00:00.000000,2023-02-01 03:00:11.171088,2023-12-07 07:13:53.777367
1,1,347,63,925,656,81071,943,2022-09-05,2023-08-30,771.971.0560x328,0,0,0,1,2023-09-10,2022-02-18,0,0,null,Valid,2023-10-01 00:00:00.000000,2022-07-13 00:00:00.000000,2022-09-05 10:57:35.861516,2023-10-30 22:46:44.293658
1,1,411,708,353,405,101757,847,2021-09-08,2023-08-07,+1-366-370-5093,0,1,1,1,2023-06-23,2022-06-26,0,0,null,Invalid,2023-09-25 00:00:00.000000,2022-12-12 00:00:00.000000,2023-09-12 05:11:01.458199,2023-10-29 15:10:18.956602
1,2,614,671,716,712,103119,395,2022-01-17,2023-05-24,567-950-8711,1,0,1,1,2022-04-01,2021-05-11,0,0,null,Valid,2023-10-13 00:00:00.000000,2022-04-03 00:00:00.000000,2021-12-02 18:26:22.636840,2022-10-05 09:07:29.506746
1,2,139,967,248,613,109751,30,2023-11-15,2023-12-17,788.532.7012x204,0,1,1,1,2023-12-02,2021-03-02,0,0,null,Invalid,2023-05-12 00:00:00.000000,2021-10-15 00:00:00.000000,2021-08-08 07:03:56.956541,2023-12-05 03:10:31.236399
1,1,729,402,437,281,120461,358,2022-03-20,2023-07-18,(713)509-6020,0,1,1,1,2023-09-22,2021-06-22,0,0,null,Valid,2021-12-08 00:00:00.000000,2024-01-01 00:00:00.000000,2023-06-16 20:23:14.549200,2024-01-12 13:28:33.244734
1,3,726,465,142,879,127543,491,2021-10-10,2023-10-04,(721)351-2897,1,1,0,1,2023-07-06,2022-02-05,0,0,null,Valid,2021-12-12 00:00:00.000000,2021-02-14 00:00:00.000000,2023-11-18 10:04:57.017533,2024-01-15 15:43:11.571877
1,2,165,444,590,738,131637,183,2023-05-25,2023-07-07,001-895-306-7720x672,0,0,1,0,2021-10-04,2022-07-11,0,0,null,Valid,2021-10-07 00:00:00.000000,2023-09-25 00:00:00.000000,2021-09-05 21:17:31.465348,2022-02-12 06:55:16.439210
1,2,198,445,975,468,133033,267,2023-01-31,2023-05-18,+1-514-741-1602,0,0,1,1,2021-11-15,2022-04-11,0,0,null,Valid,2021-04-27 00:00:00.000000,2022-05-17 00:00:00.000000,2021-05-10 06:20:02.784935,2021-09-22 04:52:29.982219
1,2,227,156,388,513,139259,809,2022-03-13,2023-09-21,970-905-3177,1,0,0,1,2024-01-06,2021-12-30,0,0,null,Invalid,2022-04-30 00:00:00.000000,2022-02-14 00:00:00.000000,2022-07-06 08:13:14.352482,2023-02-21 09:33:47.290123
1,1,796,747,314,848,154542,55,2021-02-20,2021-03-30,4106207951,1,0,0,0,2021-04-30,2021-04-04,0,0,null,Valid,2022-02-04 00:00:00.000000,2022-01-17 00:00:00.000000,2021-05-25 00:09:05.518662,2022-07-13 11:24:21.117931
1,2,978,557,484,114,158770,147,2022-02-12,2023-12-05,001-328-254-3560,1,1,0,1,2021-06-08,2023-10-23,0,0,null,Valid,2023-11-28 00:00:00.000000,2022-06-02 00:00:00.000000,2023-01-17 08:40:07.526652,2023-09-16 01:15:53.412467
1,2,971,338,446,999,170288,789,2022-08-04,2023-08-11,(396)758-5737x71442,1,0,1,0,2022-09-03,2022-11-07,0,0,null,Valid,2022-11-10 00:00:00.000000,2023-08-01 00:00:00.000000,2021-03-13 21:33:37.125289,2021-11-01 07:39:16.695250
1,2,196,511,467,673,173327,814,2022-01-02,2023-08-13,001-640-815-2755,0,0,1,0,2022-08-10,2022-10-25,0,0,null,Valid,2022-12-31 00:00:00.000000,2022-05-20 00:00:00.000000,2021-12-20 23:11:42.192093,2022-11-12 21:20:19.606956
1,3,35,680,819,940,185736,219,2022-10-23,2023-01-30,001-382-727-9402x9985,0,0,0,0,2023-01-15,2021-05-15,0,0,null,Valid,2021-06-11 00:00:00.000000,2022-04-19 00:00:00.000000,2021-06-11 03:31:11.255552,2022-12-07 05:00:02.765736
1,3,613,881,131,58,187981,819,2022-06-15,2022-07-18,+1-799-809-0669x498,0,1,1,0,2023-04-26,2023-02-10,0,0,null,Valid,2023-07-12 00:00:00.000000,2022-03-01 00:00:00.000000,2021-03-11 02:33:32.615676,2022-01-06 12:06:46.042922
1,2,102,632,855,686,189773,455,2023-06-12,2023-08-17,327.617.0342,0,0,1,0,2022-11-29,2022-05-22,0,0,null,Valid,2023-06-15 00:00:00.000000,2021-05-25 00:00:00.000000,2023-02-22 22:51:35.629878,2024-01-06 16:37:53.180572
1,3,109,715,319,770,196380,221,2021-02-05,2021-04-09,001-937-698-5094x183,1,0,0,0,2022-08-05,2023-02-01,0,0,null,Valid,2023-05-23 00:00:00.000000,2023-10-30 00:00:00.000000,2022-03-25 04:10:18.286194,2022-06-09 07:54:54.391722
1,1,279,292,267,609,210176,569,2021-09-10,2023-05-26,955-792-8083,1,1,0,1,2022-09-10,2023-01-19,0,0,null,Valid,2023-11-03 00:00:00.000000,2021-08-11 00:00:00.000000,2023-01-09 12:09:50.606676,2023-02-13 05:23:44.433922
1,3,804,908,473,810,214112,454,2023-11-16,2023-12-17,846.946.1200x7598,1,0,1,0,2021-03-11,2022-09-12,0,0,null,Valid,2023-12-31 00:00:00.000000,2023-01-22 00:00:00.000000,2023-07-21 03:54:25.256438,2023-12-27 06:48:53.265866
1,3,104,183,335,169,219917,224,2022-08-07,2023-03-22,+1-804-480-8883x918,1,1,1,0,2023-04-21,2023-02-11,0,0,null,Valid,2021-06-07 00:00:00.000000,2023-07-14 00:00:00.000000,2022-09-14 02:50:40.649816,2023-12-29 00:44:15.524600
1,2,863,783,808,920,221983,304,2023-06-04,2023-08-28,3707198741,1,1,1,1,2023-01-09,2023-08-27,0,0,null,Invalid,2023-03-02 00:00:00.000000,2022-08-03 00:00:00.000000,2023-06-10 11:25:46.165841,2024-01-19 09:33:39.042208
